,Unnamed: 0,sex,IQR,Q25,Q75,cent,dfrange,ent,fpeak,kurt,maxdom,maxfun,meandom,meanfr,meanfun,median,mindom,minfun,mode,modindx,sfm,skew,std
393,393,1.0,3.375,0.375,3.75,1.9878412677461048,7.9375,0.8729657718566575,0.15625,24.05425640433113,7.9375,5.333333333333333,0.7750341763499659,1.9878412677461048,3.7675087186162575,0.71875,0.0,0.06639004149377592,0.15625,85.63385826771653,0.5525116103183281,4.341067085067614,2.2117154172055082
394,394,1.0,1.65625,0.34375,2.0,1.2973825299658348,7.09375,0.8380118519815236,0.125,12.041632039241845,7.09375,5.333333333333333,0.4272475369458128,1.2973825299658348,1.0645040206745795,0.75,0.0,0.06349206349206349,0.125,22.86784140969163,0.2798860228860543,2.9160694764850863,1.323596592449035
395,395,0.0,2.0625,0.4375,2.5,1.7805953806463952,7.875,0.8771779854737914,0.40625,9.951695005643378,7.875,5.333333333333333,0.9002447632058288,1.7805953806463952,1.5255186506814322,0.84375,0.0,0.06274509803921569,0.40625,57.66666666666666,0.5177688623222281,2.7936110093384228,2.0375897543984527
396,396,1.0,3.0,0.40625,3.40625,1.96752961806059,7.4375,0.8829312889880321,0.1875,19.640116501767174,7.4375,5.333333333333333,0.7366214057507987,1.96752961806059,1.9497557657550464,0.90625,0.0,0.06349206349206349,0.1875,76.02941176470588,0.5472330055859771,3.8403297742690894,2.1058342195871456
397,397,0.0,2.375,0.5,2.875,1.7442510836446878,5.46875,0.876108579421985,0.25,10.605482069673313,5.46875,5.333333333333333,0.5327205882352941,1.7442510836446878,1.5572393318341855,1.09375,0.0,0.06349206349206349,0.25,40.70857142857143,0.40818962313634105,2.680130184858315,1.6155346674096671
398,398,1.0,1.59375,0.40625,2.0,1.4679612645493834,6.90625,0.8419954337198455,0.15625,13.441867395247169,6.90625,5.333333333333333,0.3968418435013263,1.4679612645493834,0.7813352536410988,0.71875,0.0,0.06349206349206349,0.3125,19.140271493212673,0.4135959117836833,3.2613550505200304,1.6974273999511629
399,399,1.0,1.25,0.3125,1.5625,1.2267806441830853,4.84375,0.8134941345023743,0.15625,19.485919845085675,4.84375,5.333333333333333,0.2875987584650113,1.2267806441830853,1.4926347459548774,0.59375,0.0,0.06639004149377592,0.15625,20.92258064516129,0.3379803933425973,3.8764792571216375,1.5089185576981068
400,400,1.0,1.09375,0.375,1.46875,1.2322745308549614,6.65625,0.8204149456782635,0.21875,10.520795981459225,6.65625,5.333333333333333,0.44942299836601307,1.2322745308549614,2.1685158362117307,0.6875,0.0,0.06451612903225806,0.21875,22.887323943661972,0.32785225151266034,2.7855810957729883,1.4940290623187202
401,401,0.0,1.09375,0.34375,1.4375,1.112358714389338,6.34375,0.8131578037692943,0.09375,9.412251434887487,6.34375,5.333333333333333,0.3482635060639471,1.112358714389338,1.4865466121808413,0.71875,0.0,0.06837606837606837,0.09375,21.48768472906404,0.25945899257087496,2.5751726877736107,1.2525329429315992
402,402,0.0,0.90625,0.5625,1.46875,1.1584534859495774,2.96875,0.7868431988157779,0.46875,10.199828506018408,2.96875,5.333333333333333,0.6572148370497427,1.1584534859495774,0.4268710704357072,0.9375,0.0,0.06274509803921569,0.46875,48.252631578947366,0.17377942624062134,2.6870871694457468,0.9896881498159652
403,403,1.0,2.28125,0.5,2.78125,1.9285395393417133,7.84375,0.8887118818476122,0.21875,14.19453203331109,7.84375,5.333333333333333,0.7143059757942511,1.9285395393417133,0.8903023347973642,1.15625,0.0,0.06274509803921569,0.375,55.75298804780876,0.5217138187157334,3.2360077709284623,1.8804251295147476
404,404,1.0,1.3125,0.21875,1.53125,1.2921378524863565,7.625,0.8120052395915859,0.125,15.444149129273464,7.625,5.333333333333333,0.2739403735632184,1.2921378524863565,4.304240357236489,0.53125,0.0,0.06274509803921569,0.03125,35.815573770491795,0.3735440176088495,3.508056598269228,1.7992860236879002
405,405,1.0,1.71875,0.375,2.09375,1.5612612358203959,7.125,0.8592184304984664,0.125,11.531731963623693,7.125,5.333333333333333,0.7195737670068028,1.5612612358203959,2.073017077997055,0.78125,0.0,0.064,0.3125,60.60526315789475,0.4500704616695921,3.0063897498666723,1.7826568265667446
406,406,1.0,1.46875,0.4375,1.90625,1.5868638888870596,7.96875,0.8559084335376036,0.15625,9.903873176040817,7.96875,5.333333333333333,0.7645483657243817,1.5868638888870596,1.2660293051298663,0.75,0.0,0.06274509803921569,0.46875,53.29803921568627,0.4499676417583544,2.777983827652436,1.8761834089428104
407,407,0.0,1.46875,0.375,1.84375,1.3785721662268011,7.1875,0.8347597268998901,0.125,12.349310952377547,7.1875,5.333333333333333,0.3979139290407359,1.3785721662268011,1.4774710321479494,0.65625,0.0,0.07079646017699115,0.34375,13.708695652173915,0.38571722797937,3.1368162002264044,1.605586612233329
408,408,1.0,1.5625,0.4375,2.0,1.4077513035099818,6.78125,0.8550709727155875,0.125,7.85149338956958,6.78125,5.333333333333333,0.449371301775148,1.4077513035099818,0.9001647923202641,0.8125,0.0,0.06349206349206349,0.25,26.41935483870968,0.3589173676364197,2.391477463206229,1.4664130155727737
409,409,1.0,1.3125,0.40625,1.71875,1.3025895903799445,4.8125,0.8317991172036865,0.125,12.198084082674386,4.8125,5.333333333333333,0.4251745810055866,1.3025895903799445,1.3507163394525228,0.71875,0.0,0.064,0.34375,21.025974025974023,0.33417704314775903,3.0133075931438027,1.4424395506664411
410,410,1.0,1.4375,0.34375,1.78125,1.2942198132691691,5.5625,0.8231367475025638,0.15625,15.635999429620549,5.5625,5.333333333333333,0.423425572519084,1.2942198132691691,1.3626450873699367,0.65625,0.0,0.06349206349206349,0.15625,31.5,0.338611352386053,3.419652287483192,1.516349829853599
411,411,1.0,2.5,0.53125,3.03125,1.9054226752403216,7.84375,0.8984661575472823,0.125,10.194794123252418,7.84375,5.333333333333333,0.8681463068181818,1.9054226752403216,0.9457849520768196,1.125,0.0,0.06324110671936757,0.125,54.12350597609562,0.5461852800760054,2.7077479086314296,1.913628970625548
412,412,1.0,3.90625,0.4375,4.34375,2.3691915644249617,7.6875,0.91652641419981,0.15625,9.875593039027054,7.6875,5.333333333333333,0.7694640399174123,2.3691915644249617,4.285615023180208,1.1875,0.0,0.06349206349206349,0.28125,86.43902439024392,0.6158391050954228,2.720820020000437,2.311200198951599
413,413,1.0,1.09375,0.375,1.46875,1.135075559221347,4.375,0.8120763068531809,0.125,8.489278447396302,4.375,5.333333333333333,0.404040404040404,1.135075559221347,1.2824274890618417,0.6875,0.0,0.06451612903225806,0.125,44.521428571428565,0.2654291419984083,2.5333696031531847,1.2648268170511847
414,414,1.0,2.375,0.375,2.75,1.8328293041549517,7.96875,0.8931709553159609,0.09375,14.497658293226175,7.96875,5.333333333333333,0.4527768105849582,1.8328293041549517,1.3107655848519986,1.09375,0.0,0.06274509803921569,0.09375,33.898039215686275,0.5395105665690861,3.288536921577924,1.9117659276341512
415,415,0.0,2.53125,0.875,3.40625,2.3870616342302817,7.375,0.9425062472861062,0.125,3.0434139790663224,7.375,5.333333333333333,1.4539165748898681,2.3870616342302817,1.319541802206196,1.875,0.0,0.06274509803921569,0.53125,94.08474576271186,0.6333321818161903,1.0385846183751992,1.9025288881644016
416,416,1.0,1.03125,0.4375,1.46875,1.3325547958424828,7.84375,0.8200861581230944,0.4375,13.959895758778908,7.84375,5.333333333333333,0.5101479514415781,1.3325547958424828,0.9683328482804822,0.6875,0.0,0.06374501992031872,0.4375,32.94422310756972,0.3635545875251547,3.205872916340473,1.6104745046203286
417,417,1.0,2.28125,0.375,2.65625,1.7865003404643804,7.90625,0.8783546075368869,0.125,13.77752176931494,7.90625,5.333333333333333,0.6288389781859931,1.7865003404643804,1.2598252459043395,0.84375,0.0,0.06274509803921569,0.125,38.940711462450594,0.5205657504273219,3.2822851794180403,1.9835669982757416
418,418,1.0,2.5625,0.375,2.9375,1.9223350611191248,7.625,0.895535210155825,0.125,25.247915404344468,7.625,5.333333333333333,0.5606081081081081,1.9223350611191248,1.1699166941348018,1.09375,0.0,0.06274509803921569,0.125,47.114754098360656,0.5650521279167193,4.215019926326601,2.005655064821372
419,419,1.0,3.0,0.46875,3.46875,2.2154611572236385,7.875,0.9272684593506216,0.125,10.793873222564855,7.875,5.333333333333333,0.8556727857683573,2.2154611572236385,1.7220104809322676,1.40625,0.0,0.06299212598425198,0.125,94.03968253968254,0.6498352425309158,2.7568783294073143,2.17782146700389
420,420,1.0,1.59375,0.59375,2.1875,1.5793667995625011,4.3125,0.875950675480292,0.09375,5.295235807294052,4.3125,5.333333333333333,0.6733490566037735,1.5793667995625011,0.7271463801989813,1.15625,0.0,0.06324110671936757,0.875,39.08695652173913,0.3867473025954236,1.7279232087528216,1.429086458898826
421,421,1.0,1.6875,0.375,2.0625,1.5478991394780572,6.75,0.8525453167540544,0.1875,16.33920669955823,6.75,5.333333333333333,0.4995868389423077,1.5478991394780572,1.0891518248711656,0.8125,0.0,0.06425702811244981,0.3125,27.703703703703702,0.4365956701279224,3.548827080275521,1.7522777782344274
422,422,0.0,1.8125,0.53125,2.34375,1.6275561874639797,3.375,0.8753860844009179,0.15625,7.3191044146433715,3.375,5.333333333333333,0.4635984332425068,1.6275561874639797,0.9482014978645638,1.0,0.0,0.06274509803921569,0.15625,42.75,0.4320219475746948,2.2431472034867386,1.6326083660440966
423,423,0.0,2.28125,0.53125,2.8125,1.8477000755686004,7.90625,0.8982191545062242,0.125,13.668749305431778,7.90625,5.333333333333333,0.7832650972364381,1.8477000755686004,1.1541554668656897,1.34375,0.0,0.06349206349206349,0.125,47.80237154150198,0.4920994711927205,2.8964689808063513,1.691361471841719
424,424,1.0,1.6875,0.34375,2.03125,1.4657819471170983,7.375,0.8460685659553381,0.15625,19.264529468373986,7.375,5.333333333333333,0.4880453020134228,1.4657819471170983,1.5728395480589474,0.75,0.0,0.06374501992031872,0.15625,25.16949152542373,0.39160218432445215,3.774451983188305,1.6241850029682474
